survey_n,cluster,age,Q1,Q2,Q3,Q4,Q5
1,N,50,2,4,3,4,4
2,N,39,4,3,3,4,4
3,N,37,5,5,5,5,3
4,N,53,5,5,4,4,3
5,N,48,4,5,3,4,2
6,N,42,4,5,5,5,5
7,N,29,3,4,3,4,3
8,N,27,3,3,3,3,3
9,N,53,5,5,3,3,4
10,N,24,5,4,4,4,4
11,N,50,5,5,5,5,4
12,N,33,4,5,4,4,3
13,N,62,3,2,3,3,3
14,N,64,4,4,4,3,3
15,N,68,3,2,3,3,3
16,N,65,5,5,5,5,5
17,N,34,3,3,3,5,4
18,N,56,4,4,4,4,4
19,N,57,3,4,3,4,3
20,N,47,2,3,2,3,2
21,N,56,5,5,5,5,5
22,N,71,4,4,4,4,5
23,N,50,4,4,4,4,5
24,N,38,3,2,3,3,4
25,N,44,3,4,4,3,4
26,N,49,2,3,4,2,2
27,N,39,3,3,3,3,2
28,N,54,3,4,4,3,3
29,N,32,3,2,4,3,4
30,N,34,2,4,2,4,2
31,N,60,2,4,2,4,2
32,N,50,3,4,3,3,2
33,N,64,NA,NA,NA,NA,NA
34,N,22,2,3,2,3,2
35,N,49,NA,NA,NA,NA,NA
36,N,68,4,3,3,5,5
37,N,43,5,5,5,5,5
38,N,45,2,3,3,3,5
39,N,34,3,3,3,3,3
40,N,49,5,5,4,5,4
41,N,51,4,4,4,4,4
42,N,32,4,4,4,4,4
43,N,46,4,4,4,4,4
44,N,61,2,4,2,4,2
45,N,65,5,5,5,5,5
46,N,69,3,3,2,2,1
47,N,57,2,3,4,4,3
48,N,67,3,4,4,5,4
49,N,59,4,3,4,3,3
50,N,56,4,4,4,4,4
51,N,53,3,3,3,3,3
52,N,50,3,4,3,4,3
53,N,33,3,4,4,4,3
54,N,65,2,4,4,4,5
55,N,56,3,3,2,4,3
56,N,28,2,4,4,4,4
57,N,49,4,4,4,4,4
58,C,54,3,4,3,4,2
59,C,25,2,3,3,4,4
60,C,35,3,3,3,4,3
61,C,47,3,4,3,4,2
62,C,34,4,4,4,4,4
63,C,54,4,4,4,5,4
64,C,35,4,4,3,4,3
65,C,49,3,5,4,5,4
66,C,37,3,5,4,5,4
67,C,63,2,2,3,5,2
68,C,65,4,5,3,4,5
69,C,73,4,2,3,4,2
70,C,73,3,3,4,3,4
71,C,45,3,4,5,5,4
72,C,46,2,3,4,4,5
73,C,23,3,4,3,4,4
74,C,61,NA,NA,NA,NA,NA
75,C,40,3,4,4,4,3
76,C,44,5,3,4,3,3
77,C,63,2,3,4,4,3
78,C,59,4,4,4,4,4
79,C,57,1,5,4,5,4
80,C,30,1,1,1,1,1
81,C,28,1,1,1,1,1
82,C,24,3,3,3,3,2
83,C,50,4,4,3,3,3
84,C,60,4,4,3,3,3
85,S,39,2,2,3,3,4
86,S,47,2,2,2,4,1
87,S,45,3,4,2,4,4
88,S,54,2,3,3,3,3
89,S,46,4,4,4,4,3
90,S,33,3,5,3,5,3
91,S,71,3,3,3,3,3
92,S,63,3,4,4,5,3
93,S,73,4,4,3,4,3
94,S,62,3,4,3,3,3
95,S,28,3,4,3,4,3
96,S,60,5,5,5,5,5
97,S,57,5,5,5,5,5
98,S,39,4,4,4,4,4
99,S,44,4,4,4,4,4
100,S,53,5,5,4,5,5
101,S,47,5,5,5,5,5
102,S,34,4,4,4,4,4
103,S,60,3,4,3,4,3
104,S,46,3,4,4,4,2
105,S,45,3,4,3,4,3
106,S,77,3,4,3,4,3
107,S,59,3,4,3,4,3
108,S,59,3,4,3,4,3
109,S,69,4,5,4,3,4
110,S,37,3,4,3,4,3
111,S,55,3,3,3,3,4
112,S,43,3,4,5,4,4
113,S,45,3,3,3,3,4
114,S,57,3,3,3,4,3
115,S,65,3,5,3,4,3
116,S,40,3,3,3,4,3
117,S,60,3,4,3,4,3
118,S,64,4,5,4,4,5
119,S,39,3,3,5,4,4
120,S,22,1,3,1,3,1
121,S,76,3,4,3,4,3
122,S,59,1,3,3,4,3
123,S,51,4,5,4,5,5
124,S,41,1,3,3,1,3
125,S,40,3,4,3,4,4
126,S,45,3,4,4,3,3
127,S,38,3,4,3,4,3
128,S,58,3,4,4,4,4
129,S,30,4,5,3,4,5
130,N,34,1,2,1,3,1
131,N,45,2,5,5,4,3
132,N,49,4,5,5,3,4
133,N,38,4,4,4,4,4
134,N,28,1,2,1,3,2
135,N,58,NA,NA,NA,NA,NA
136,N,28,3,3,3,3,3
137,N,47,4,4,3,4,3
138,N,50,NA,NA,NA,NA,NA
139,N,70,NA,NA,NA,NA,NA
140,N,42,3,4,3,4,3
141,N,36,3,5,5,5,4
142,N,58,3,3,2,4,3
143,N,27,2,4,2,4,2
144,N,50,4,4,4,5,5
145,N,63,3,4,4,3,3
146,N,39,4,5,5,4,5
147,N,30,1,4,1,3,4
148,N,60,3,4,4,4,4
149,N,65,3,3,3,3,4
150,N,35,3,4,3,4,4
151,N,66,4,4,4,4,4
152,N,37,3,4,4,4,3
153,N,33,4,4,5,5,4
154,N,53,3,2,2,4,4
155,N,73,3,5,3,4,3
156,N,52,4,5,4,4,5
157,S,67,4,4,5,5,5
158,S,55,2,3,2,3,2
159,S,39,3,4,3,4,3
160,S,66,3,4,3,4,4
161,S,55,4,4,4,4,4
162,S,19,4,3,4,3,4
163,S,40,4,5,4,3,4
164,S,66,4,5,3,3,4
165,S,26,5,4,4,5,5
166,S,54,3,3,3,4,3
167,S,63,2,3,2,4,3
168,S,30,2,3,3,3,4
169,S,28,2,3,2,3,3
170,S,44,1,4,1,3,2
171,S,30,3,4,4,5,4
172,S,36,2,3,3,3,2
173,S,67,3,3,3,3,3
174,S,47,1,3,2,3,3
175,S,51,3,4,3,4,3
176,S,50,3,4,4,4,4
177,S,36,3,5,3,4,4
178,S,59,4,4,4,5,5
179,S,40,4,4,5,5,4
180,S,56,2,3,3,3,3
181,S,36,3,3,3,3,3
182,S,58,4,4,4,4,4
183,S,55,3,3,3,3,3
184,S,54,3,3,4,4,5
185,S,56,5,5,5,5,5
186,C,58,4,4,4,5,4
187,C,55,1,1,1,2,4
188,C,50,3,5,5,5,3
189,C,21,4,5,4,4,4
190,C,57,3,3,4,3,4
191,C,51,1,1,1,2,4
192,C,57,4,5,4,4,5
193,C,54,4,4,4,5,4
194,C,48,3,3,3,4,4
195,C,39,3,4,4,3,4
196,C,30,3,4,4,4,5
197,C,61,4,4,4,4,4
198,C,30,4,4,4,5,5
199,C,58,4,4,4,4,3
200,C,57,3,4,4,4,4
201,C,55,4,4,3,4,3
202,C,31,4,4,4,4,4
203,C,71,4,4,5,4,5
204,C,65,4,5,3,5,4
205,C,38,3,4,3,4,3
206,C,36,4,4,4,4,4
207,C,30,2,3,2,3,2
208,C,37,3,4,3,4,3
209,N,44,3,4,4,4,4
210,N,32,3,4,4,4,3
211,N,26,2,3,4,4,3
212,N,36,1,4,1,4,1
213,N,26,2,4,3,4,3
214,N,41,4,4,4,3,2
215,N,29,3,3,4,4,3
216,N,42,3,3,3,4,3
217,N,39,3,3,3,3,4
218,N,51,3,3,4,4,5
219,N,32,5,4,3,3,3
220,N,51,2,3,3,3,3
221,N,34,2,2,1,3,2
222,N,37,4,4,3,4,3
223,N,36,4,4,4,4,3
224,N,36,3,3,3,4,4
225,N,41,4,4,4,4,4
226,N,34,3,5,4,5,4
227,N,53,2,3,2,3,4
228,N,81,3,3,3,4,3
229,N,39,2,4,3,4,3
230,N,51,1,3,1,2,2
231,N,50,5,4,4,5,4
232,N,32,2,3,3,4,3
233,N,25,3,4,3,4,3
234,N,23,2,4,2,3,2
235,N,22,3,3,2,3,2
236,N,42,3,1,3,3,3
237,N,48,2,4,3,4,4
238,N,43,4,5,4,4,4
239,N,50,4,5,5,5,4
240,N,53,4,5,4,5,4
241,N,45,3,2,3,3,2
242,N,32,4,4,2,3,4
243,N,40,2,4,3,4,4
244,N,54,4,5,5,4,4
245,C,52,2,2,3,2,3
246,C,64,3,4,3,4,3
247,C,65,3,3,2,3,3
248,C,58,3,4,3,5,3
249,C,54,4,4,4,4,3
250,C,43,3,3,3,3,3
251,C,32,2,3,3,3,3
252,C,63,3,4,4,5,4
253,C,51,2,5,4,5,3
254,C,32,3,5,3,4,2
255,C,49,3,4,3,4,3
256,C,34,3,3,3,3,3
257,C,53,2,3,3,3,3
258,C,53,3,4,3,4,3
259,C,31,4,4,4,5,4
260,C,53,3,4,3,4,2
261,C,74,4,4,2,4,4
262,C,32,4,4,3,4,4
263,C,40,2,3,3,3,2
264,C,40,3,3,3,3,3
265,C,57,4,3,4,3,4
266,C,46,1,2,2,2,2
267,C,57,4,4,4,4,4
268,C,42,3,4,2,3,3
269,C,25,3,3,3,3,3
270,C,25,3,3,3,3,3
271,C,28,2,5,3,4,5
272,C,50,3,4,3,4,4
273,S,52,3,4,4,4,3
274,S,55,4,4,4,4,4
275,S,49,4,4,3,3,3
276,S,42,3,5,5,5,5
277,S,52,4,4,5,5,4
278,S,43,4,4,4,4,4
279,S,59,3,4,3,4,3
280,S,60,3,3,3,3,3
281,S,56,3,4,3,4,3
282,S,42,3,3,3,4,4
283,S,61,3,5,3,3,3
284,S,50,4,5,4,5,4
285,S,38,5,5,5,5,5
286,S,49,3,3,4,4,4
287,S,68,4,4,4,5,4
288,S,37,4,4,4,5,4
289,S,49,3,4,3,4,3
290,S,48,1,2,1,4,4
291,S,26,2,4,3,4,3
292,S,29,3,3,1,2,2
293,S,41,1,3,1,4,3
294,S,46,4,4,4,3,3
